"","CHEM_ID","LIB_ID","COMP_ID","CHRO_LIB_ENTRY_ID","SUPER_PATHWAY","SUB_PATHWAY","PATHWAY_SORTORDER","TYPE","INCHIKEY","SMILES","CHEMICAL_NAME","PLOT_NAME","LIPID SPECIES LEVEL","LIPID MOLECULAR SPECIES LEVEL","LIPID SN POSITION LEVEL","CAS","CHEMSPIDER","HMDB","KEGG","PUBCHEM","PLATFORM","CHEMICAL_NAME_final","original_index","final_metabolite_id","metabolite_id_origin"
"345",100001197,209,32497,125854,"Lipid","Medium Chain Fatty Acid",1523,"NAMED","FRPZMMHWLSIFAZ-UHFFFAOYSA-N","O=C(CCCCCCCCC=C)O[H]","10-undecenoate (11:1n1)","10-undecenoate (11:1n1)",NA,NA,NA,"1333-28-4","10771160","HMDB0033724","C13910","14891","Neg","10_undecenoate_11_1n1",322,"HMDB0033724","COMETS"
"346",100001198,209,32418,125828,"Lipid","Long Chain Monounsaturated Fatty Acid",1549,"NAMED","YWWVWXASSLXJHU-WAYWQWQTSA-N","O=C(CCCCCCC/C=C\CCCC)O","myristoleate (14:1n5)","myristoleate (14:1n5)",NA,NA,NA,"544-64-9","4444564","HMDB0002000","C08322","5281119","Neg","myristoleate_14_1n5",323,"HMDB0002000_C18_Q40","COMETS"
"347",100001198,209,32418,125828,"Lipid","Long Chain Monounsaturated Fatty Acid",1549,"NAMED","YWWVWXASSLXJHU-WAYWQWQTSA-N","O=C(CCCCCCC/C=C\CCCC)O","myristoleate (14:1n5)","myristoleate (14:1n5)",NA,NA,NA,"544-64-9","4444564","HMDB0002000","C08322","5281119","Neg","myristoleate_14_1n5",323,"HMDB0002000","COMETS"
"348",100001208,400,32350,155911,"Amino Acid","Histidine Metabolism",94,"NAMED","ZHCKPJGJQOPTLB-UHFFFAOYSA-N","O=C(O)CC1=CN(C)C=N1","1-methyl-4-imidazoleacetate","1-methyl-4-imidazoleacetate",NA,NA,NA,"2625-49-2","68319","HMDB0002820","C05828","75810","Pos Early","1_methyl_4_imidazoleacetate",324,"HMDB0002820","COMETS"
"349",100001211,209,32398,125812,"Lipid","Fatty Acid, Dicarboxylate",1704,"NAMED","CXMXRPHRNRROMY-UHFFFAOYSA-N","OC(CCCCCCCCC(O)=O)=O","sebacate (C10-DC)","sebacate (C10-DC)",NA,NA,NA,"111-20-6","5004","HMDB0000792","C08277","5192","Neg","sebacate_c10_dc",325,"HMDB0000792_C18_QI94","COMETS"
"350",100001211,209,32398,125812,"Lipid","Fatty Acid, Dicarboxylate",1704,"NAMED","CXMXRPHRNRROMY-UHFFFAOYSA-N","OC(CCCCCCCCC(O)=O)=O","sebacate (C10-DC)","sebacate (C10-DC)",NA,NA,NA,"111-20-6","5004","HMDB0000792","C08277","5192","Neg","sebacate_c10_dc",325,"HMDB0000792","COMETS"
"351",100001212,305,32446,152164,"Amino Acid","Guanidino and Acetamido Metabolism",573,"NAMED","VVHOUVWJCQOYGG-UHFFFAOYSA-N","N=C(N)NC(C(O)=O)CC(O)=O","guanidinosuccinate","guanidinosuccinate",NA,NA,NA,"6133-30-8","88329","HMDB0003157","C03139","439918","Polar","guanidinosuccinate",326,"HMDB0003157","COMETS"
"352",100001226,209,32426,144353,"Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism",4448,"NAMED","OBHRVMZSZIDDEK-UHFFFAOYSA-N","CC1=C(CC(NC2=O)C(CC)=C2C)NC(CC3=C(CCC(O)=O)C(C)=C(CC(NC4=O)C(C)=C4CC)N3)=C1CCC(O)=O","I-urobilinogen","I-urobilinogen",NA,NA,NA,"14684-37-8","24980","HMDB0004157","C05789","9548718","Neg","i_urobilinogen",327,"HMDB0004157","COMETS"
"353",100001229,209,33969,126890,"Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)",1580,"NAMED","JIWBIWFOSCKQMA-LTKCOYKYSA-N","CC\C=C/C\C=C/C\C=C/C\C=C/CCCCC(O)=O","stearidonate (18:4n3)","stearidonate (18:4n3)",NA,NA,NA,"111174-40-4","4471933","HMDB0006547","C16300","5312508","Neg","stearidonate_18_4n3",328,"HMDB0006547","COMETS"
"354",100001232,209,33968,126127,"Lipid","Medium Chain Fatty Acid",1527,"NAMED","IJBFSOLHRKELLR-FPLPWBNLSA-N","CCCCCC\C=C/CCCC(O)=O","5-dodecenoate (12:1n7)","5-dodecenoate (12:1n7)",NA,NA,NA,"2430-94-6","4471803","HMDB0000529",NA,"5312378","Neg","5_dodecenoate_12_1n7",329,"HMDB0000529","COMETS"
