"input_metabolite_name_final","original_index","contains_original","contains_derived","n_source_rows","input_hmdb_id","metabolite_id","input_pubchem","input_metabolite_name","input_chemspider","input_kegg","input_inchikey","input_chebi","multiple_identifiers","multiple_isomers","original"
"w1_finland_nmr_metabolomics_total_cholesterol_in_medium_ldl","492",TRUE,FALSE,1,NA,"BM00063",NA,"[W1 Finland NMR Metabolomics] Total cholesterol in medium LDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_in_medium_vldl","272",TRUE,FALSE,1,NA,"BM00028",NA,"[W1 Finland NMR Metabolomics] Total cholesterol in medium VLDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_in_small_hdl","712",TRUE,FALSE,1,NA,"BM00098",NA,"[W1 Finland NMR Metabolomics] Total cholesterol in small HDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_in_small_ldl","536",TRUE,FALSE,1,NA,"BM00070",NA,"[W1 Finland NMR Metabolomics] Total cholesterol in small LDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_in_small_vldl","316",TRUE,FALSE,1,NA,"BM00035",NA,"[W1 Finland NMR Metabolomics] Total cholesterol in small VLDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_in_very_large_hdl","578",TRUE,FALSE,1,NA,"BM00077",NA,"[W1 Finland NMR Metabolomics] Total cholesterol in very large HDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_in_very_large_vldl","182",TRUE,FALSE,1,NA,"BM00014",NA,"[W1 Finland NMR Metabolomics] Total cholesterol in very large VLDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_in_very_small_vldl","358",TRUE,FALSE,1,NA,"BM00042",NA,"[W1 Finland NMR Metabolomics] Total cholesterol in very small VLDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_in_vldl","743",TRUE,FALSE,1,NA,"BM00176",NA,"[W1 Finland NMR Metabolomics] Total cholesterol in VLDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_to_total_lipids_ratio_in_chylomicrons_and_extremely_large_vldl","935",TRUE,FALSE,1,NA,"BP00103",NA,"[W1 Finland NMR Metabolomics] Total cholesterol to total lipids ratio in chylomicrons and extremely large VLDL (%)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_to_total_lipids_ratio_in_idl","1144",TRUE,FALSE,1,NA,"BP00133",NA,"[W1 Finland NMR Metabolomics] Total cholesterol to total lipids ratio in IDL (%)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_to_total_lipids_ratio_in_large_hdl","1314",TRUE,FALSE,1,NA,"BP00158",NA,"[W1 Finland NMR Metabolomics] Total cholesterol to total lipids ratio in large HDL (%)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_to_total_lipids_ratio_in_large_ldl","1178",TRUE,FALSE,1,NA,"BP00138",NA,"[W1 Finland NMR Metabolomics] Total cholesterol to total lipids ratio in large LDL (%)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_to_total_lipids_ratio_in_large_vldl","1008",TRUE,FALSE,1,NA,"BP00113",NA,"[W1 Finland NMR Metabolomics] Total cholesterol to total lipids ratio in large VLDL (%)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_to_total_lipids_ratio_in_medium_hdl","1348",TRUE,FALSE,1,NA,"BP00163",NA,"[W1 Finland NMR Metabolomics] Total cholesterol to total lipids ratio in medium HDL (%)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_to_total_lipids_ratio_in_medium_ldl","1212",TRUE,FALSE,1,NA,"BP00143",NA,"[W1 Finland NMR Metabolomics] Total cholesterol to total lipids ratio in medium LDL (%)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_to_total_lipids_ratio_in_medium_vldl","1042",TRUE,FALSE,1,NA,"BP00118",NA,"[W1 Finland NMR Metabolomics] Total cholesterol to total lipids ratio in medium VLDL (%)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_to_total_lipids_ratio_in_small_hdl","1382",TRUE,FALSE,1,NA,"BP00168",NA,"[W1 Finland NMR Metabolomics] Total cholesterol to total lipids ratio in small HDL (%)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_to_total_lipids_ratio_in_small_ldl","1246",TRUE,FALSE,1,NA,"BP00148",NA,"[W1 Finland NMR Metabolomics] Total cholesterol to total lipids ratio in small LDL (%)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_to_total_lipids_ratio_in_small_vldl","1076",TRUE,FALSE,1,NA,"BP00123",NA,"[W1 Finland NMR Metabolomics] Total cholesterol to total lipids ratio in small VLDL (%)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_to_total_lipids_ratio_in_very_large_hdl","1278",TRUE,FALSE,1,NA,"BP00153",NA,"[W1 Finland NMR Metabolomics] Total cholesterol to total lipids ratio in very large HDL (%)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_to_total_lipids_ratio_in_very_large_vldl","972",TRUE,FALSE,1,NA,"BP00108",NA,"[W1 Finland NMR Metabolomics] Total cholesterol to total lipids ratio in very large VLDL (%)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholesterol_to_total_lipids_ratio_in_very_small_vldl","1108",TRUE,FALSE,1,NA,"BP00128",NA,"[W1 Finland NMR Metabolomics] Total cholesterol to total lipids ratio in very small VLDL (%)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_cholines","857",TRUE,FALSE,1,NA,"BM00192",NA,"[W1 Finland NMR Metabolomics] Total cholines (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_fatty_acids","871",TRUE,FALSE,1,NA,"BM00196",NA,"[W1 Finland NMR Metabolomics] Total fatty acids (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_lipids_in_chylomicrons_and_extremely_large_vldl","126",TRUE,FALSE,1,NA,"BM00005",NA,"[W1 Finland NMR Metabolomics] Total lipids in chylomicrons and extremely large VLDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_lipids_in_idl","392",TRUE,FALSE,1,NA,"BM00047",NA,"[W1 Finland NMR Metabolomics] Total lipids in IDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_lipids_in_large_hdl","612",TRUE,FALSE,1,NA,"BM00082",NA,"[W1 Finland NMR Metabolomics] Total lipids in large HDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_lipids_in_large_ldl","436",TRUE,FALSE,1,NA,"BM00054",NA,"[W1 Finland NMR Metabolomics] Total lipids in large LDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_lipids_in_large_vldl","216",TRUE,FALSE,1,NA,"BM00019",NA,"[W1 Finland NMR Metabolomics] Total lipids in large VLDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
