metabolite_id,dataset_id,study_name,platform,merge_variable,input_metabolite_name,input_metabid,input_chemical_id,input_comp_id,input_hmdb_id,input_cas,input_pubchem,input_chemspider,input_kegg,input_inchikey,input_chebi
BP00155,63,FINRISK97,Nightingale Health,NEW UID,XL-HDL-FC %,xlhdlfcpct,,,,,,,,,
BP00156,15,British Women's Heart and Health Study,Nightingale Health,BIOCHEMICAL_NAME,[W1 Finland NMR Metabolomics] Triglycerides to total lipids ratio in very large HDL (%),xl_hdl_tg__,,,,,,,,,
BP00156,23,Avon Longitudinal Study of Parents and Children,Nightingale Health,BIOCHEMICAL_NAME,Triglycerides to total lipids ratio in very large HDL (%),xlhdltg_p,,,,,,,,,
BP00156,25,Born in Bradford,Nightingale Health,BIOCHEMICAL_NAME,Triglycerides to total lipids ratio in very large HDL (%),xlhdltg_perc,,,,,,,,,
BP00156,26,Southall and Brent Revisited,Nightingale Health,BIOCHEMICAL_NAME,Triglycerides to total lipids ratio in very large Hdl,mf_xl_hdl_tg_v1,,,,,,,,,
BP00156,28,Twins United Kingdom,Nightingale Health,BIOCHEMICAL_NAME,Triglycerides to total lipids ratio in very large HDL ( XL-HDL-TG_% ),bp00156,,,,,,,,,
BP00156,51,Caerphilly Prospective Study,Nightingale Health,BIOCHEMICAL_NAME,Triglycerides to total lipids ratio in very large HDL (%),xlhdltg_,,,,,,,,,
BP00156,53,MRC National Survey of Health and Development,Nightingale Health,BIOCHEMICAL_NAME,Triglycerides to total lipids ratio in very large HDL (%),XL_HDL_TG_,,,,,,,,,
BP00156,55,Whitehall II,Nightingale Health,NEW UID,Triglycerides to total lipids ratio in very large HDL (%) (s5),xl_hdl_tg_pc,,,,,,,,,
BP00156,57,UK Pregnancies Better Eating and Activity Trial,Nightingale Health,NEW UID,xlhdltg_pct,xlhdltg_pct,,,,,,,,,
BP00156,60,FINRISK02,Nightingale Health,NEW UID,XL-HDL-TG %,xlhdltgpct,,,,,,,,,
BP00156,61,FINRISK07,Nightingale Health,NEW UID,XL-HDL-TG %,xlhdltgpct,,,,,,,,,
BP00156,62,FINRISK12,Nightingale Health,NEW UID,XL-HDL-TG %,xlhdltgpct,,,,,,,,,
BP00156,63,FINRISK97,Nightingale Health,NEW UID,XL-HDL-TG %,xlhdltgpct,,,,,,,,,
BP00157,15,British Women's Heart and Health Study,Nightingale Health,BIOCHEMICAL_NAME,[W1 Finland NMR Metabolomics] Phospholipids to total lipds ratio in large HDL (%),l_hdl_pl__,,,,,,,,,
BP00157,23,Avon Longitudinal Study of Parents and Children,Nightingale Health,BIOCHEMICAL_NAME,Phospholipids to total lipds ratio in large HDL (%),lhdlpl_p,,,,,,,,,
BP00157,25,Born in Bradford,Nightingale Health,BIOCHEMICAL_NAME,Phospholipids to total lipds ratio in large HDL (%),lhdlpl_perc,,,,,,,,,
BP00157,26,Southall and Brent Revisited,Nightingale Health,BIOCHEMICAL_NAME,Phospholipids to total lipds ratio in large Hdl,mf_l_hdl_pl_v1,,,,,,,,,
BP00157,28,Twins United Kingdom,Nightingale Health,BIOCHEMICAL_NAME,Phospholipids to total lipds ratio in large HDL ( L-HDL-PL_% ),bp00157,,,,,,,,,
BP00157,51,Caerphilly Prospective Study,Nightingale Health,BIOCHEMICAL_NAME,Phospholipids to total lipds ratio in large HDL (%),lhdlpl_,,,,,,,,,
BP00157,53,MRC National Survey of Health and Development,Nightingale Health,BIOCHEMICAL_NAME,Phospholipids to total lipds ratio in large HDL (%),L_HDL_PL_,,,,,,,,,
BP00157,57,UK Pregnancies Better Eating and Activity Trial,Nightingale Health,NEW UID,lhdlpl_pct,lhdlpl_pct,,,,,,,,,
BP00157,60,FINRISK02,Nightingale Health,NEW UID,L-HDL-PL %,lhdlplpct,,,,,,,,,
BP00157,61,FINRISK07,Nightingale Health,NEW UID,L-HDL-PL %,lhdlplpct,,,,,,,,,
BP00157,62,FINRISK12,Nightingale Health,NEW UID,L-HDL-PL %,lhdlplpct,,,,,,,,,
BP00157,63,FINRISK97,Nightingale Health,NEW UID,L-HDL-PL %,lhdlplpct,,,,,,,,,
BP00158,15,British Women's Heart and Health Study,Nightingale Health,BIOCHEMICAL_NAME,[W1 Finland NMR Metabolomics] Total cholesterol to total lipids ratio in large HDL (%),l_hdl_c__,,,,,,,,,
BP00158,23,Avon Longitudinal Study of Parents and Children,Nightingale Health,BIOCHEMICAL_NAME,Total cholesterol to total lipids ratio in large HDL (%),lhdlc_p,,,,,,,,,
BP00158,25,Born in Bradford,Nightingale Health,BIOCHEMICAL_NAME,Total cholesterol to total lipids ratio in large HDL (%),lhdlc_perc,,,,,,,,,
BP00158,26,Southall and Brent Revisited,Nightingale Health,BIOCHEMICAL_NAME,Total cholesterol to total lipids ratio in large Hdl,mf_l_hdl_c_v1,,,,,,,,,
BP00158,28,Twins United Kingdom,Nightingale Health,BIOCHEMICAL_NAME,Total cholesterol to total lipids ratio in large HDL ( L-HDL-C_% ),bp00158,,,,,,,,,
BP00158,51,Caerphilly Prospective Study,Nightingale Health,BIOCHEMICAL_NAME,Total cholesterol to total lipids ratio in large HDL (%),lhdlc_,,,,,,,,,
BP00158,53,MRC National Survey of Health and Development,Nightingale Health,BIOCHEMICAL_NAME,Total cholesterol to total lipids ratio in large HDL (%),L_HDL_C_,,,,,,,,,
BP00158,55,Whitehall II,Nightingale Health,NEW UID,Total cholesterol to total lipids ratio in large HDL (%) (s5),l_hdl_c_pc,,,,,,,,,
BP00158,57,UK Pregnancies Better Eating and Activity Trial,Nightingale Health,NEW UID,lhdlc_pct,lhdlc_pct,,,,,,,,,
BP00158,60,FINRISK02,Nightingale Health,NEW UID,L-HDL-C %,lhdlcpct,,,,,,,,,
BP00158,61,FINRISK07,Nightingale Health,NEW UID,L-HDL-C %,lhdlcpct,,,,,,,,,
BP00158,62,FINRISK12,Nightingale Health,NEW UID,L-HDL-C %,lhdlcpct,,,,,,,,,
BP00158,63,FINRISK97,Nightingale Health,NEW UID,L-HDL-C %,lhdlcpct,,,,,,,,,
BP00159,15,British Women's Heart and Health Study,Nightingale Health,BIOCHEMICAL_NAME,[W1 Finland NMR Metabolomics] Cholesterol esters to total lipids ratio in large HDL (%),l_hdl_ce__,,,,,,,,,
BP00159,23,Avon Longitudinal Study of Parents and Children,Nightingale Health,BIOCHEMICAL_NAME,Cholesterol esters to total lipids ratio in large HDL (%),lhdlce_p,,,,,,,,,
BP00159,25,Born in Bradford,Nightingale Health,BIOCHEMICAL_NAME,Cholesterol esters to total lipids ratio in large HDL (%),lhdlce_perc,,,,,,,,,
BP00159,26,Southall and Brent Revisited,Nightingale Health,BIOCHEMICAL_NAME,Cholesterol esters to total lipids ratio in large Hdl,mf_l_hdl_ce_v1,,,,,,,,,
BP00159,28,Twins United Kingdom,Nightingale Health,BIOCHEMICAL_NAME,Cholesterol esters to total lipids ratio in large HDL ( L-HDL-CE_% ),bp00159,,,,,,,,,
BP00159,51,Caerphilly Prospective Study,Nightingale Health,BIOCHEMICAL_NAME,Cholesterol esters to total lipids ratio in large HDL (%),lhdlce_,,,,,,,,,
BP00159,53,MRC National Survey of Health and Development,Nightingale Health,BIOCHEMICAL_NAME,Cholesterol esters to total lipids ratio in large HDL (%),L_HDL_CE_,,,,,,,,,
BP00159,55,Whitehall II,Nightingale Health,NEW UID,Cholesterol esters to total lipids ratio in large HDL (%) (s5),l_hdl_ce_pc,,,,,,,,,
BP00159,57,UK Pregnancies Better Eating and Activity Trial,Nightingale Health,NEW UID,lhdlce_pct,lhdlce_pct,,,,,,,,,
BP00159,60,FINRISK02,Nightingale Health,NEW UID,L-HDL-CE %,lhdlcepct,,,,,,,,,
BP00159,61,FINRISK07,Nightingale Health,NEW UID,L-HDL-CE %,lhdlcepct,,,,,,,,,
BP00159,62,FINRISK12,Nightingale Health,NEW UID,L-HDL-CE %,lhdlcepct,,,,,,,,,
BP00159,63,FINRISK97,Nightingale Health,NEW UID,L-HDL-CE %,lhdlcepct,,,,,,,,,
BP00160,15,British Women's Heart and Health Study,Nightingale Health,BIOCHEMICAL_NAME,[W1 Finland NMR Metabolomics] Free cholesterol to total lipids ratio in large HDL (%),l_hdl_fc__,,,,,,,,,
BP00160,23,Avon Longitudinal Study of Parents and Children,Nightingale Health,BIOCHEMICAL_NAME,Free cholesterol to total lipids ratio in large HDL (%),lhdlfc_p,,,,,,,,,
BP00160,25,Born in Bradford,Nightingale Health,BIOCHEMICAL_NAME,Free cholesterol to total lipids ratio in large HDL (%),lhdlfc_perc,,,,,,,,,
BP00160,26,Southall and Brent Revisited,Nightingale Health,BIOCHEMICAL_NAME,Free cholesterol to total lipids ratio in large Hdl,mf_l_hdl_fc_v1,,,,,,,,,
BP00160,28,Twins United Kingdom,Nightingale Health,BIOCHEMICAL_NAME,Free cholesterol to total lipids ratio in large HDL ( L-HDL-FC_% ),bp00160,,,,,,,,,
BP00160,51,Caerphilly Prospective Study,Nightingale Health,BIOCHEMICAL_NAME,Free cholesterol to total lipids ratio in large HDL (%),lhdlfc_,,,,,,,,,
BP00160,53,MRC National Survey of Health and Development,Nightingale Health,BIOCHEMICAL_NAME,Free cholesterol to total lipids ratio in large HDL (%),L_HDL_FC_,,,,,,,,,
BP00160,55,Whitehall II,Nightingale Health,NEW UID,Free cholesterol to total lipids ratio in large HDL (%) (s5),l_hdl_fc_pc,,,,,,,,,
BP00160,57,UK Pregnancies Better Eating and Activity Trial,Nightingale Health,NEW UID,lhdlfc_pct,lhdlfc_pct,,,,,,,,,
BP00160,60,FINRISK02,Nightingale Health,NEW UID,L-HDL-FC %,lhdlfcpct,,,,,,,,,
BP00160,61,FINRISK07,Nightingale Health,NEW UID,L-HDL-FC %,lhdlfcpct,,,,,,,,,
BP00160,62,FINRISK12,Nightingale Health,NEW UID,L-HDL-FC %,lhdlfcpct,,,,,,,,,
BP00160,63,FINRISK97,Nightingale Health,NEW UID,L-HDL-FC %,lhdlfcpct,,,,,,,,,
BP00161,15,British Women's Heart and Health Study,Nightingale Health,BIOCHEMICAL_NAME,[W1 Finland NMR Metabolomics] Triglycerides to total lipids ratio in large HDL (%),l_hdl_tg__,,,,,,,,,
BP00161,23,Avon Longitudinal Study of Parents and Children,Nightingale Health,BIOCHEMICAL_NAME,Triglycerides to total lipids ratio in large HDL (%),lhdltg_p,,,,,,,,,
BP00161,25,Born in Bradford,Nightingale Health,BIOCHEMICAL_NAME,Triglycerides to total lipids ratio in large HDL (%),lhdltg_perc,,,,,,,,,
BP00161,26,Southall and Brent Revisited,Nightingale Health,BIOCHEMICAL_NAME,Triglycerides to total lipids ratio in large Hdl,mf_l_hdl_tg_v1,,,,,,,,,
BP00161,28,Twins United Kingdom,Nightingale Health,BIOCHEMICAL_NAME,Triglycerides to total lipids ratio in large HDL ( L-HDL-TG_% ),bp00161,,,,,,,,,
BP00161,51,Caerphilly Prospective Study,Nightingale Health,BIOCHEMICAL_NAME,Triglycerides to total lipids ratio in large HDL (%),lhdltg_,,,,,,,,,
BP00161,53,MRC National Survey of Health and Development,Nightingale Health,BIOCHEMICAL_NAME,Triglycerides to total lipids ratio in large HDL (%),L_HDL_TG_,,,,,,,,,
BP00161,55,Whitehall II,Nightingale Health,NEW UID,Triglycerides to total lipids ratio in large HDL (%) (s5),l_hdl_tg_pc,,,,,,,,,
BP00161,57,UK Pregnancies Better Eating and Activity Trial,Nightingale Health,NEW UID,lhdltg_pct,lhdltg_pct,,,,,,,,,
BP00161,60,FINRISK02,Nightingale Health,NEW UID,L-HDL-TG %,lhdltgpct,,,,,,,,,
BP00161,61,FINRISK07,Nightingale Health,NEW UID,L-HDL-TG %,lhdltgpct,,,,,,,,,
BP00161,62,FINRISK12,Nightingale Health,NEW UID,L-HDL-TG %,lhdltgpct,,,,,,,,,
BP00161,63,FINRISK97,Nightingale Health,NEW UID,L-HDL-TG %,lhdltgpct,,,,,,,,,
BP00162,15,British Women's Heart and Health Study,Nightingale Health,BIOCHEMICAL_NAME,[W1 Finland NMR Metabolomics] Phospholipids to total lipds ratio in medium HDL (%),m_hdl_pl__,,,,,,,,,
BP00162,23,Avon Longitudinal Study of Parents and Children,Nightingale Health,BIOCHEMICAL_NAME,Phospholipids to total lipds ratio in medium HDL (%),mhdlpl_p,,,,,,,,,
BP00162,25,Born in Bradford,Nightingale Health,BIOCHEMICAL_NAME,Phospholipids to total lipds ratio in medium HDL (%),mhdlpl_perc,,,,,,,,,
BP00162,26,Southall and Brent Revisited,Nightingale Health,BIOCHEMICAL_NAME,Phospholipids to total lipds ratio in medium Hdl,mf_m_hdl_pl_v1,,,,,,,,,
BP00162,28,Twins United Kingdom,Nightingale Health,BIOCHEMICAL_NAME,Phospholipids to total lipds ratio in medium HDL ( M-HDL-PL_% ),bp00162,,,,,,,,,
BP00162,51,Caerphilly Prospective Study,Nightingale Health,BIOCHEMICAL_NAME,Phospholipids to total lipds ratio in medium HDL (%),mhdlpl_,,,,,,,,,
BP00162,53,MRC National Survey of Health and Development,Nightingale Health,BIOCHEMICAL_NAME,Phospholipids to total lipds ratio in medium HDL (%),M_HDL_PL_,,,,,,,,,
BP00162,57,UK Pregnancies Better Eating and Activity Trial,Nightingale Health,NEW UID,mhdlpl_pct,mhdlpl_pct,,,,,,,,,
BP00162,60,FINRISK02,Nightingale Health,NEW UID,M-HDL-PL %,mhdlplpct,,,,,,,,,
BP00162,61,FINRISK07,Nightingale Health,NEW UID,M-HDL-PL %,mhdlplpct,,,,,,,,,
BP00162,62,FINRISK12,Nightingale Health,NEW UID,M-HDL-PL %,mhdlplpct,,,,,,,,,
BP00162,63,FINRISK97,Nightingale Health,NEW UID,M-HDL-PL %,mhdlplpct,,,,,,,,,
BP00163,15,British Women's Heart and Health Study,Nightingale Health,BIOCHEMICAL_NAME,[W1 Finland NMR Metabolomics] Total cholesterol to total lipids ratio in medium HDL (%),m_hdl_c__,,,,,,,,,
BP00163,23,Avon Longitudinal Study of Parents and Children,Nightingale Health,BIOCHEMICAL_NAME,Total cholesterol to total lipids ratio in medium HDL (%),mhdlc_p,,,,,,,,,
BP00163,25,Born in Bradford,Nightingale Health,BIOCHEMICAL_NAME,Total cholesterol to total lipids ratio in medium HDL (%),mhdlc_perc,,,,,,,,,
BP00163,26,Southall and Brent Revisited,Nightingale Health,BIOCHEMICAL_NAME,Total cholesterol to total lipids ratio in medium Hdl,mf_m_hdl_c_v1,,,,,,,,,
BP00163,28,Twins United Kingdom,Nightingale Health,BIOCHEMICAL_NAME,Total cholesterol to total lipids ratio in medium HDL ( M-HDL-C_% ),bp00163,,,,,,,,,
BP00163,51,Caerphilly Prospective Study,Nightingale Health,BIOCHEMICAL_NAME,Total cholesterol to total lipids ratio in medium HDL (%),mhdlc_,,,,,,,,,
BP00163,53,MRC National Survey of Health and Development,Nightingale Health,BIOCHEMICAL_NAME,Total cholesterol to total lipids ratio in medium HDL (%),M_HDL_C_,,,,,,,,,
BP00163,55,Whitehall II,Nightingale Health,NEW UID,Total cholesterol to total lipids ratio in medium HDL (%) (s5),m_hdl_c_pc,,,,,,,,,
BP00163,57,UK Pregnancies Better Eating and Activity Trial,Nightingale Health,NEW UID,mhdlc_pct,mhdlc_pct,,,,,,,,,
BP00163,60,FINRISK02,Nightingale Health,NEW UID,M-HDL-C %,mhdlcpct,,,,,,,,,
BP00163,61,FINRISK07,Nightingale Health,NEW UID,M-HDL-C %,mhdlcpct,,,,,,,,,
BP00163,62,FINRISK12,Nightingale Health,NEW UID,M-HDL-C %,mhdlcpct,,,,,,,,,
BP00163,63,FINRISK97,Nightingale Health,NEW UID,M-HDL-C %,mhdlcpct,,,,,,,,,
BP00164,15,British Women's Heart and Health Study,Nightingale Health,BIOCHEMICAL_NAME,[W1 Finland NMR Metabolomics] Cholesterol esters to total lipids ratio in medium HDL (%),m_hdl_ce__,,,,,,,,,
BP00164,23,Avon Longitudinal Study of Parents and Children,Nightingale Health,BIOCHEMICAL_NAME,Cholesterol esters to total lipids ratio in medium HDL (%),mhdlce_p,,,,,,,,,
BP00164,25,Born in Bradford,Nightingale Health,BIOCHEMICAL_NAME,Cholesterol esters to total lipids ratio in medium HDL (%),mhdlce_perc,,,,,,,,,
BP00164,26,Southall and Brent Revisited,Nightingale Health,BIOCHEMICAL_NAME,Cholesterol esters to total lipids ratio in medium Hdl,mf_m_hdl_ce_v1,,,,,,,,,
BP00164,28,Twins United Kingdom,Nightingale Health,BIOCHEMICAL_NAME,Cholesterol esters to total lipids ratio in medium HDL ( M-HDL-CE_% ),bp00164,,,,,,,,,
BP00164,51,Caerphilly Prospective Study,Nightingale Health,BIOCHEMICAL_NAME,Cholesterol esters to total lipids ratio in medium HDL (%),mhdlce_,,,,,,,,,
BP00164,53,MRC National Survey of Health and Development,Nightingale Health,BIOCHEMICAL_NAME,Cholesterol esters to total lipids ratio in medium HDL (%),M_HDL_CE_,,,,,,,,,
BP00164,55,Whitehall II,Nightingale Health,NEW UID,Cholesterol esters to total lipids ratio in medium HDL (%) (s5),m_hdl_ce_pc,,,,,,,,,
BP00164,57,UK Pregnancies Better Eating and Activity Trial,Nightingale Health,NEW UID,mhdlce_pct,mhdlce_pct,,,,,,,,,
BP00164,60,FINRISK02,Nightingale Health,NEW UID,M-HDL-CE %,mhdlcepct,,,,,,,,,
BP00164,61,FINRISK07,Nightingale Health,NEW UID,M-HDL-CE %,mhdlcepct,,,,,,,,,
BP00164,62,FINRISK12,Nightingale Health,NEW UID,M-HDL-CE %,mhdlcepct,,,,,,,,,
BP00164,63,FINRISK97,Nightingale Health,NEW UID,M-HDL-CE %,mhdlcepct,,,,,,,,,
BP00165,15,British Women's Heart and Health Study,Nightingale Health,BIOCHEMICAL_NAME,[W1 Finland NMR Metabolomics] Free cholesterol to total lipids ratio in medium HDL (%),m_hdl_fc__,,,,,,,,,
BP00165,23,Avon Longitudinal Study of Parents and Children,Nightingale Health,BIOCHEMICAL_NAME,Free cholesterol to total lipids ratio in medium HDL (%),mhdlfc_p,,,,,,,,,
BP00165,25,Born in Bradford,Nightingale Health,BIOCHEMICAL_NAME,Free cholesterol to total lipids ratio in medium HDL (%),mhdlfc_perc,,,,,,,,,
BP00165,26,Southall and Brent Revisited,Nightingale Health,BIOCHEMICAL_NAME,Free cholesterol to total lipids ratio in medium Hdl,mf_m_hdl_fc_v1,,,,,,,,,
BP00165,28,Twins United Kingdom,Nightingale Health,BIOCHEMICAL_NAME,Free cholesterol to total lipids ratio in medium HDL ( M-HDL-FC_% ),bp00165,,,,,,,,,
BP00165,51,Caerphilly Prospective Study,Nightingale Health,BIOCHEMICAL_NAME,Free cholesterol to total lipids ratio in medium HDL (%),mhdlfc_,,,,,,,,,
BP00165,53,MRC National Survey of Health and Development,Nightingale Health,BIOCHEMICAL_NAME,Free cholesterol to total lipids ratio in medium HDL (%),M_HDL_FC_,,,,,,,,,
BP00165,55,Whitehall II,Nightingale Health,NEW UID,Free cholesterol to total lipids ratio in medium HDL (%) (s5),m_hdl_fc_pc,,,,,,,,,
BP00165,57,UK Pregnancies Better Eating and Activity Trial,Nightingale Health,NEW UID,mhdlfc_pct,mhdlfc_pct,,,,,,,,,
BP00165,60,FINRISK02,Nightingale Health,NEW UID,M-HDL-FC %,mhdlfcpct,,,,,,,,,
BP00165,61,FINRISK07,Nightingale Health,NEW UID,M-HDL-FC %,mhdlfcpct,,,,,,,,,
BP00165,62,FINRISK12,Nightingale Health,NEW UID,M-HDL-FC %,mhdlfcpct,,,,,,,,,
BP00165,63,FINRISK97,Nightingale Health,NEW UID,M-HDL-FC %,mhdlfcpct,,,,,,,,,
BP00166,15,British Women's Heart and Health Study,Nightingale Health,BIOCHEMICAL_NAME,[W1 Finland NMR Metabolomics] Triglycerides to total lipids ratio in medium HDL (%),m_hdl_tg__,,,,,,,,,
BP00166,23,Avon Longitudinal Study of Parents and Children,Nightingale Health,BIOCHEMICAL_NAME,Triglycerides to total lipids ratio in medium HDL (%),mhdltg_p,,,,,,,,,
BP00166,25,Born in Bradford,Nightingale Health,BIOCHEMICAL_NAME,Triglycerides to total lipids ratio in medium HDL (%),mhdltg_perc,,,,,,,,,
BP00166,26,Southall and Brent Revisited,Nightingale Health,BIOCHEMICAL_NAME,Triglycerides to total lipids ratio in medium Hdl,mf_m_hdl_tg_v1,,,,,,,,,
BP00166,28,Twins United Kingdom,Nightingale Health,BIOCHEMICAL_NAME,Triglycerides to total lipids ratio in medium HDL ( M-HDL-TG_% ),bp00166,,,,,,,,,
BP00166,51,Caerphilly Prospective Study,Nightingale Health,BIOCHEMICAL_NAME,Triglycerides to total lipids ratio in medium HDL (%),mhdltg_,,,,,,,,,
BP00166,53,MRC National Survey of Health and Development,Nightingale Health,BIOCHEMICAL_NAME,Triglycerides to total lipids ratio in medium HDL (%),M_HDL_TG_,,,,,,,,,
BP00166,55,Whitehall II,Nightingale Health,NEW UID,Triglycerides to total lipids ratio in medium HDL (%) (s5),m_hdl_tg_pc,,,,,,,,,
BP00166,57,UK Pregnancies Better Eating and Activity Trial,Nightingale Health,NEW UID,mhdltg_pct,mhdltg_pct,,,,,,,,,
BP00166,60,FINRISK02,Nightingale Health,NEW UID,M-HDL-TG %,mhdltgpct,,,,,,,,,
BP00166,61,FINRISK07,Nightingale Health,NEW UID,M-HDL-TG %,mhdltgpct,,,,,,,,,
BP00166,62,FINRISK12,Nightingale Health,NEW UID,M-HDL-TG %,mhdltgpct,,,,,,,,,
BP00166,63,FINRISK97,Nightingale Health,NEW UID,M-HDL-TG %,mhdltgpct,,,,,,,,,
BP00167,15,British Women's Heart and Health Study,Nightingale Health,BIOCHEMICAL_NAME,[W1 Finland NMR Metabolomics] Phospholipids to total lipds ratio in small HDL (%),s_hdl_pl__,,,,,,,,,
BP00167,23,Avon Longitudinal Study of Parents and Children,Nightingale Health,BIOCHEMICAL_NAME,Phospholipids to total lipds ratio in small HDL (%),shdlpl_p,,,,,,,,,
BP00167,25,Born in Bradford,Nightingale Health,BIOCHEMICAL_NAME,Phospholipids to total lipds ratio in small HDL (%),shdlpl_perc,,,,,,,,,
BP00167,26,Southall and Brent Revisited,Nightingale Health,BIOCHEMICAL_NAME,Phospholipids to total lipds ratio in small Hdl,mf_s_hdl_pl_v1,,,,,,,,,
BP00167,28,Twins United Kingdom,Nightingale Health,BIOCHEMICAL_NAME,Phospholipids to total lipds ratio in small HDL ( S-HDL-PL_% ),bp00167,,,,,,,,,
BP00167,51,Caerphilly Prospective Study,Nightingale Health,BIOCHEMICAL_NAME,Phospholipids to total lipds ratio in small HDL (%),shdlpl_,,,,,,,,,
BP00167,53,MRC National Survey of Health and Development,Nightingale Health,BIOCHEMICAL_NAME,Phospholipids to total lipds ratio in small HDL (%),S_HDL_PL_,,,,,,,,,
BP00167,57,UK Pregnancies Better Eating and Activity Trial,Nightingale Health,NEW UID,shdlpl_pct,shdlpl_pct,,,,,,,,,
BP00167,60,FINRISK02,Nightingale Health,NEW UID,S-HDL-PL %,shdlplpct,,,,,,,,,
BP00167,61,FINRISK07,Nightingale Health,NEW UID,S-HDL-PL %,shdlplpct,,,,,,,,,
BP00167,62,FINRISK12,Nightingale Health,NEW UID,S-HDL-PL %,shdlplpct,,,,,,,,,
BP00167,63,FINRISK97,Nightingale Health,NEW UID,S-HDL-PL %,shdlplpct,,,,,,,,,
BP00168,15,British Women's Heart and Health Study,Nightingale Health,BIOCHEMICAL_NAME,[W1 Finland NMR Metabolomics] Total cholesterol to total lipids ratio in small HDL (%),s_hdl_c__,,,,,,,,,
BP00168,23,Avon Longitudinal Study of Parents and Children,Nightingale Health,BIOCHEMICAL_NAME,Total cholesterol to total lipids ratio in small HDL (%),shdlc_p,,,,,,,,,
BP00168,25,Born in Bradford,Nightingale Health,BIOCHEMICAL_NAME,Total cholesterol to total lipids ratio in small HDL (%),shdlc_perc,,,,,,,,,
BP00168,26,Southall and Brent Revisited,Nightingale Health,BIOCHEMICAL_NAME,Total cholesterol to total lipids ratio in small Hdl,mf_s_hdl_c_v1,,,,,,,,,
BP00168,28,Twins United Kingdom,Nightingale Health,BIOCHEMICAL_NAME,Total cholesterol to total lipids ratio in small HDL ( S-HDL-C_% ),bp00168,,,,,,,,,
BP00168,51,Caerphilly Prospective Study,Nightingale Health,BIOCHEMICAL_NAME,Total cholesterol to total lipids ratio in small HDL (%),shdlc_,,,,,,,,,
BP00168,53,MRC National Survey of Health and Development,Nightingale Health,BIOCHEMICAL_NAME,Total cholesterol to total lipids ratio in small HDL (%),S_HDL_C_,,,,,,,,,
BP00168,55,Whitehall II,Nightingale Health,NEW UID,Total cholesterol to total lipids ratio in small HDL (%) (s5),s_hdl_c_pc,,,,,,,,,
BP00168,57,UK Pregnancies Better Eating and Activity Trial,Nightingale Health,NEW UID,shdlc_pct,shdlc_pct,,,,,,,,,
BP00168,60,FINRISK02,Nightingale Health,NEW UID,S-HDL-C %,shdlcpct,,,,,,,,,
BP00168,61,FINRISK07,Nightingale Health,NEW UID,S-HDL-C %,shdlcpct,,,,,,,,,
BP00168,62,FINRISK12,Nightingale Health,NEW UID,S-HDL-C %,shdlcpct,,,,,,,,,
BP00168,63,FINRISK97,Nightingale Health,NEW UID,S-HDL-C %,shdlcpct,,,,,,,,,
BP00169,15,British Women's Heart and Health Study,Nightingale Health,BIOCHEMICAL_NAME,[W1 Finland NMR Metabolomics] Cholesterol esters to total lipids ratio in small HDL (%),s_hdl_ce__,,,,,,,,,
BP00169,23,Avon Longitudinal Study of Parents and Children,Nightingale Health,BIOCHEMICAL_NAME,Cholesterol esters to total lipids ratio in small HDL (%),shdlce_p,,,,,,,,,
BP00169,25,Born in Bradford,Nightingale Health,BIOCHEMICAL_NAME,Cholesterol esters to total lipids ratio in small HDL (%),shdlce_perc,,,,,,,,,
BP00169,26,Southall and Brent Revisited,Nightingale Health,BIOCHEMICAL_NAME,Cholesterol esters to total lipids ratio in small Hdl,mf_s_hdl_ce_v1,,,,,,,,,
BP00169,28,Twins United Kingdom,Nightingale Health,BIOCHEMICAL_NAME,Cholesterol esters to total lipids ratio in small HDL ( S-HDL-CE_% ),bp00169,,,,,,,,,
BP00169,51,Caerphilly Prospective Study,Nightingale Health,BIOCHEMICAL_NAME,Cholesterol esters to total lipids ratio in small HDL (%),shdlce_,,,,,,,,,
BP00169,53,MRC National Survey of Health and Development,Nightingale Health,BIOCHEMICAL_NAME,Cholesterol esters to total lipids ratio in small HDL (%),S_HDL_CE_,,,,,,,,,
BP00169,55,Whitehall II,Nightingale Health,NEW UID,Cholesterol esters to total lipids ratio in small HDL (%) (s5),s_hdl_ce_pc,,,,,,,,,
BP00169,57,UK Pregnancies Better Eating and Activity Trial,Nightingale Health,NEW UID,shdlce_pct,shdlce_pct,,,,,,,,,
BP00169,60,FINRISK02,Nightingale Health,NEW UID,S-HDL-CE %,shdlcepct,,,,,,,,,
BP00169,61,FINRISK07,Nightingale Health,NEW UID,S-HDL-CE %,shdlcepct,,,,,,,,,
BP00169,62,FINRISK12,Nightingale Health,NEW UID,S-HDL-CE %,shdlcepct,,,,,,,,,
BP00169,63,FINRISK97,Nightingale Health,NEW UID,S-HDL-CE %,shdlcepct,,,,,,,,,
BP00170,15,British Women's Heart and Health Study,Nightingale Health,BIOCHEMICAL_NAME,[W1 Finland NMR Metabolomics] Free cholesterol to total lipids ratio in small HDL (%),s_hdl_fc__,,,,,,,,,
BP00170,23,Avon Longitudinal Study of Parents and Children,Nightingale Health,BIOCHEMICAL_NAME,Free cholesterol to total lipids ratio in small HDL (%),shdlfc_p,,,,,,,,,
BP00170,25,Born in Bradford,Nightingale Health,BIOCHEMICAL_NAME,Free cholesterol to total lipids ratio in small HDL (%),shdlfc_perc,,,,,,,,,
