"","input_hmdb_id","input_pubchem","metabolite_id","input_metabolite_name_final","original_index","contains_original","contains_derived","n_source_rows","input_metabolite_name","input_chemspider","input_kegg","input_inchikey","input_chebi","multiple_identifiers","multiple_isomers","original"
"107",NA,NA,"CSID24822573","pcaac344 in plasma_micromole_l","4073",TRUE,FALSE,1,"pcaac344 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"108",NA,NA,"CSID24822578","pcaac383 in plasma_micromole_l","4078",TRUE,FALSE,1,"pcaac383 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"109",NA,NA,"CSID24822638","pcaac403 in plasma_micromole_l","4086",TRUE,FALSE,1,"pcaac403 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"110",NA,NA,"CSID24822650","pcaac402 in plasma_micromole_l","4091",TRUE,FALSE,1,"pcaac402 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"111",NA,NA,"CSID24822657","pcaac386 in plasma_micromole_l","4096",TRUE,FALSE,1,"pcaac386 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"112",NA,NA,"CSID24822678","pcaac422 in plasma_micromole_l","4101",TRUE,FALSE,1,"pcaac422 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"113",NA,NA,"CSID24822837","pcaec300 in plasma_micromole_l","4106",TRUE,FALSE,1,"pcaec300 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"114",NA,NA,"CSID24822840","pcaec321 in plasma_micromole_l","4111",TRUE,FALSE,1,"pcaec321 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"115",NA,NA,"CSID24822863","pcaec361 in plasma_micromole_l","4116",TRUE,FALSE,1,"pcaec361 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"116",NA,NA,"CSID24822871","pcaec385 in plasma_micromole_l","4121",TRUE,FALSE,1,"pcaec385 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"117",NA,NA,"CSID24822888","pcaec341 in plasma_micromole_l","4126",TRUE,FALSE,1,"pcaec341 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"118",NA,NA,"CSID24822898","pcaec384 in plasma_micromole_l","4138",TRUE,FALSE,1,"pcaec384 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"119",NA,NA,"CSID24822903","pcaec405 in plasma_micromole_l","4143",TRUE,FALSE,1,"pcaec405 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"120",NA,NA,"CSID24822939","pcaec322 in plasma_micromole_l","4148",TRUE,FALSE,1,"pcaec322 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"121",NA,NA,"CSID24823031","lysopcac181 in plasma_micromole_l","4158",TRUE,FALSE,1,"lysopcac181 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"122",NA,NA,"CSID24846875","smc240 in plasma_micromole_l","4164",TRUE,FALSE,1,"smc240 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"123",NA,NA,"CSID24958570","pcaec363 in plasma_micromole_l","4174",TRUE,FALSE,1,"pcaec363 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"124",NA,NA,"CSID4940699","pcaac341 in plasma_micromole_l","4180",TRUE,FALSE,1,"pcaac341 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"125",NA,NA,"CSID4942851","pcaac364 in plasma_micromole_l","4185",TRUE,FALSE,1,"pcaac364 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"126",NA,NA,"CSID4946694","pcaac366 in plasma_micromole_l","4190",TRUE,FALSE,1,"pcaac366 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"127",NA,NA,"CSID4947173","pcaec364 in plasma_micromole_l","4195",TRUE,FALSE,1,"pcaec364 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"128",NA,NA,"CSID4956085","smc180 in plasma_micromole_l","4199",TRUE,FALSE,1,"smc180 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"129",NA,NA,"CSID8660716","pcaec365 in plasma_micromole_l","4207",TRUE,FALSE,1,"pcaec365 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
"130",NA,NA,"CSID8708435","pcaec343 in plasma_micromole_l","4212",TRUE,FALSE,1,"pcaec343 in plasma, micromole/L",NA,NA,NA,NA,FALSE,FALSE,NA
