"metabolite_id","input_metabolite_name","input_hmdb_id","input_pubchem","input_chemspider","input_kegg","input_inchikey","input_chebi","split_input_pubchem","split_reason","input_pubchem_final","metabolite_id_final","input_hmdb_id_final","input_kegg_final","input_chebi_final","input_chemspider_final","input_inchikey_final","input_metabolite_name_final","metabolite_id_final_1","metabolite_id_final_2","has_descriptive_terms","has_multiple_ids"
"HMDB00192","cystine","HMDB00192","595;67678",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","67678","HMDB00192","HMDB0000192",NA,NA,NA,NA,"cystine","HMDB00192","HMDB0000192",FALSE,FALSE
"HMDB00201","Acetylcarnitine","HMDB00201","1;7045767",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","1","HMDB00201","HMDB0000201",NA,NA,NA,NA,"acetylcarnitine","HMDB00201","HMDB0000201",FALSE,FALSE
"HMDB00201","Acetylcarnitine","HMDB00201","1;7045767",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","7045767","HMDB00201","HMDB0000201",NA,NA,NA,NA,"acetylcarnitine","HMDB00201","HMDB0000201",FALSE,FALSE
"HMDB00201","acetylcarnitine","HMDB00201","1;7045767",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","1","HMDB00201","HMDB0000201",NA,NA,NA,NA,"acetylcarnitine","HMDB00201","HMDB0000201",FALSE,FALSE
"HMDB00201","acetylcarnitine","HMDB00201","1;7045767",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","7045767","HMDB00201","HMDB0000201",NA,NA,NA,NA,"acetylcarnitine","HMDB00201","HMDB0000201",FALSE,FALSE
"HMDB00222","Palmitoylcarnitine","HMDB00222","461;11953816",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","461","HMDB00222","HMDB0000222",NA,NA,NA,NA,"palmitoylcarnitine","HMDB00222","HMDB0000222",FALSE,FALSE
"HMDB00222","Palmitoylcarnitine","HMDB00222","461;11953816",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","11953816","HMDB00222","HMDB0000222",NA,NA,NA,NA,"palmitoylcarnitine","HMDB00222","HMDB0000222",FALSE,FALSE
"HMDB00222","palmitoylcarnitine","HMDB00222","461;11953816",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","461","HMDB00222","HMDB0000222",NA,NA,NA,NA,"palmitoylcarnitine","HMDB00222","HMDB0000222",FALSE,FALSE
"HMDB00222","palmitoylcarnitine","HMDB00222","461;11953816",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","11953816","HMDB00222","HMDB0000222",NA,NA,NA,NA,"palmitoylcarnitine","HMDB00222","HMDB0000222",FALSE,FALSE
"HMDB00243","Pyruvate","HMDB00243","107735;1060",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","107735","HMDB00243","HMDB0000243",NA,NA,NA,NA,"pyruvate","HMDB00243","HMDB0000243",FALSE,FALSE
