"uid_01","hmdb_id","biochemical"
"HMDB00671#PUBCHEM9548603","HMDB0000671#","Indolelactic acid#Indole-3-lactate"
"HMDB00211#PUBCHEM892","HMDB0000211#","myo-Inositol#Inositol"
"HMDB00193#HMDB01874","HMDB0000193#HMDB0001874","Isocitric acid#D-threo-Isocitric acid"
"CSID823#HMDB00684","#HMDB0000684","Kynurenine#L-Kynurenine"
"HMDB00190#PUBCHEM612","HMDB0000190#","L-Lactic acid#Lactic acid"
"CAS_5699_54_7#HMDB00687","#HMDB0000687","Beta-Leucine#L-Leucine"
"HMDB00673#ME056366","HMDB0000673#","Linoleic acid#FA (18:2)"
"CHEM100001563#HMDB10379#PUBCHEM3045266","HMDB0010379#HMDB0010379#","LysoPC(14:0)#LysoPC(14:0)#Myristoyllysophosphatidylcholine"
"CHEM100002173#ME056201","#","1-pentadecanoylglycerophosphocholine (15:0)*#LPC (15:0)"
"HMDB10382#HMDB61702#PUBCHEM460602","HMDB0010382#HMDB0061702#","LysoPC(16:0)#2-Palmitoylglycerophosphocholine#LPC(16:0/0:0)"
"CHEM100001511#CHEM100001561","HMDB0010383#HMDB0010383","LysoPC(16:1(9Z))#LysoPC(16:1(9Z))"
"CHEM100001555#HMDB10384","#HMDB0010384","2-stearoylglycerophosphocholine*#LysoPC(18:0)"
"CHEM100001556#HMDB02815#HMDB10385","HMDB0061701#HMDB0002815#HMDB0010385","2-Oleoylglycerophosphocholine#LysoPC(18:1(9Z))#LysoPC(18:1(11Z))"
"CHEM100001557#HMDB10386#PUBCHEM56955896","#HMDB0010386#","2-linoleoylglycerophosphocholine*#LysoPC(18:2(9Z,12Z))#LPC (18:2)"
"CHEM100005357#HMDB10388","#HMDB0010388","2-linolenoylglycerophosphocholine(18:3n3)*#LysoPC(18:3(9Z,12Z,15Z))"
"CHEM100001560#HMDB10390","#HMDB0010390","2-arachidoylglycerophosphocholine*#LysoPC(20:0)"
"CHEM100005352#PUBCHEM24779475","#","1-eicosenoylglycerophosphocholine (20:1n9)*#LPC (20:1)"
"CHEM100001552#CHEM100001558#HMDB10393#HMDB10394","HMDB0010394##HMDB0010393#HMDB0010394","LysoPC(20:3(8Z,11Z,14Z))#2-eicosatrienoylglycerophosphocholine*#LysoPC(20:3(5Z,8Z,11Z))#LysoPC(20:3(8Z,11Z,14Z))"
"CHEM100001554#HMDB10395#HMDB10396","HMDB0061699#HMDB0010395#HMDB0010396","2-Arachidonoylglycerophosphocholine#LysoPC(20:4(5Z,8Z,11Z,14Z))#LysoPC(20:4(8Z,11Z,14Z,17Z))"
"CHEM100005351#HMDB10397","#HMDB0010397","1-eicosapentaenoylglycerophosphocholine (20:5n3)*#LysoPC(20:5(5Z,8Z,11Z,14Z,17Z))"
"CHEM100002063#CHEM100002066#CHEM100005673#ME056211","###","1-docosapentaenoylglycerophosphocholine (22:5)*#2-docosapentaenoylglycerophosphocholine (22:5n3)*#1-docosapentaenoyl-GPC (22:5n6)*#LPC (22:5)"
"CHEM100001565#CHEM100001566#HMDB10404","#HMDB0010404#HMDB0010404","2-docosahexaenoylglycerophosphocholine*#LysoPC(22:6(4Z,7Z,10Z,13Z,16Z,19Z))#LysoPC(22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
"CHEM100000611#PUBCHEM162126","#","1-O-hexadecylglycerophosphocholine#LPC (o-16:0)"
"HMDB10407#ME056214","HMDB0010407#","LysoPC(P-16:0)#LPC (o-16:1)"
"HMDB13122#ME056215","HMDB0013122#","LysoPC(P-18:0)#LPC (o-18:1)"
"CHEM100001652#HMDB11503","#HMDB0011503","2-palmitoylglycerophosphoethanolamine*#LysoPE(16:0/0:0)"
"HMDB11129#HMDB11130","HMDB0011129#HMDB0011130","LysoPE(0:0/18:0)#LysoPE(18:0/0:0)"
"CHEM100001651#HMDB11506","#HMDB0011506","2-oleoylglycerophosphoethanolamine*#LysoPE(18:1(9Z)/0:0)"
"CHEM100001776#HMDB11507","#HMDB0011507","2-linoleoylglycerophosphoethanolamine*#LysoPE(18:2(9Z,12Z)/0:0)"
"CHEM100001674#HMDB11517#ME056382","#HMDB0011517#","2-arachidonoylglycerophosphoethanolamine*#LysoPE(20:4(5Z,8Z,11Z,14Z)/0:0)#LPE (20:4)"
"CHEM100004552#CHEM100004564","#","1-eicosapentaenoylglycerophosphoethanolamine*#2-eicosapentaenoylglycerophosphoethanolamine*"
"C22_0_LPE#HMDB11520","#HMDB0011520","C22:0 LPE#LysoPE(22:0/0:0)"
"CHEM100002060#CHEM100002061#HMDB11526","##HMDB0011526","1-docosahexaenoylglycerophosphoethanolamine* or X - 12644#2-docosahexaenoylglycerophosphoethanolamine* or X - 12645#LysoPE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)"
"CHEM100003008#HMDB61696","#HMDB0061696","2-stearoylglycerophosphoinositol*#1-Stearoylglycerophosphoinositol"
"CHEM100001777#CHEM100002069","#","1-oleoyl-GPI (18:1)* or 1-oleoylglycerophosphoinositol*#2-oleoylglycerophosphoinositol*"
"COMP38077#HMDB61690","#HMDB0061690","2-arachidonoylglycerophosphoinositol*#1-Arachidonoylglycerophosphoinositol"
"HMDB00182#HMDB03405","HMDB0000182#HMDB0003405","L-Lysine#D-Lysine"
"CHEM100001511#CHEM100001561#HMDB10383","HMDB0010383#HMDB0010383#HMDB0010383","LysoPC(16:1(9Z))#LysoPC(16:1(9Z))#LysoPC(16:1(9Z))"
