Unnamed: 0,input_hmdb_id,input_pubchem,metabolite_id,input_metabolite_name_final,original_index,contains_original,contains_derived,n_source_rows,input_metabolite_name,input_chemspider,input_kegg,input_inchikey,input_chebi,multiple_identifiers,multiple_isomers,original
44,,17903417,CHEM100002945,methyl palmitate_15 or 2,1906,True,False,1.0,Methyl palmitate (15 or 2),,,,,False,True,
44,,17903417,CHEM100002945,methyl palmitate,44,True,False,1.0,Methyl palmitate (15),,,,,False,True,
44,,17903417,CHEM100002945,methyl palmitate,44,True,False,1.0,Methyl palmitate (2),,,,,False,True,
45,,264,COMP40605,butyrate_isobutyrate_4_0,3119,True,False,1.0,butyrate/isobutyrate (4:0),,,,,False,True,
45,,264,COMP40605,butyrate,45,True,False,1.0,butyrate,,,,,False,True,
45,,264,COMP40605,isobutyrate_4_0,45,True,False,1.0,isobutyrate (4:0),,,,,False,True,
46,,5127902,CHEM100002015,5alpha_pregnan_3_alpha or beta_20beta_diol disulfate,1833,True,False,1.0,"5alpha-pregnan-3(alpha or beta),20beta-diol disulfate",4302261.0,,,,False,True,
46,,5127902,CHEM100002015,5alpha_pregnan_3_alpha__20beta_diol disulfate,46,True,False,1.0,"5alpha-pregnan-3 (alpha) ,20beta-diol disulfate",4302261.0,,,,False,True,
46,,5127902,CHEM100002015,5alpha_pregnan_3_beta__20beta_diol disulfate,46,True,False,1.0,"5alpha-pregnan-3 (beta) ,20beta-diol disulfate",4302261.0,,,,False,True,
47,,5280581,HMDB02925,dihomolinolenate_20_3n3 or 3n6,6191,True,False,1.0,dihomolinolenate (20:3n3 or 3n6),,,,,False,True,
47,,5280581,HMDB02925,dihomolinolenate_20_3n3,47,True,False,1.0,dihomolinolenate (20:3n3),,,,,False,True,
47,,5280581,HMDB02925,dihomolinolenate_3n6,47,True,False,1.0,dihomolinolenate (3n6),,,,,False,True,
48,,5280934,HMDB01388_HMDB03073,linolenate_18_3n3 or 3n6,5844,True,False,1.0,linolenate (18:3n3 or 3n6),,,,,False,True,
48,,5280934,HMDB01388_HMDB03073,linolenate_18_3n3,48,True,False,1.0,linolenate (18:3n3),,,,,False,True,
48,,5280934,HMDB01388_HMDB03073,linolenate_3n6,48,True,False,1.0,linolenate (3n6),,,,,False,True,
