"","metabolite_id","input_metabolite_name","input_hmdb_id","input_pubchem","input_chemspider","input_kegg","input_inchikey","input_chebi","split_input_pubchem","split_reason","input_pubchem_final","metabolite_id_final","input_hmdb_id_final","input_kegg_final","input_chebi_final","input_chemspider_final","input_inchikey_final","input_metabolite_name_final","metabolite_id_final_1","metabolite_id_final_2","has_descriptive_terms","has_multiple_ids"
"64","BM00014","Total cholesterol in very large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00014",NA,NA,NA,NA,NA,"total cholesterol in very large vldl_mmol_l","BM00014","BM00014",TRUE,FALSE
"65","BM00014","Total cholesterol in very large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00014",NA,NA,NA,NA,NA,"total cholesterol in very large vldl_mmol_l","BM00014","BM00014",TRUE,FALSE
"66","BM00014","Total cholesterol in very large VLDL (mmol/L) (s5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00014",NA,NA,NA,NA,NA,"total cholesterol in very large vldl_mmol_l__s5","BM00014","BM00014",TRUE,FALSE
"67","BM00015","[W1 Finland NMR Metabolomics] Cholesterol esters in very large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00015",NA,NA,NA,NA,NA,"w1 finland nmr metabolomics_cholesterol esters in very large vldl_mmol_l","BM00015","BM00015",TRUE,FALSE
"68","BM00015","Cholesterol esters in very large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00015",NA,NA,NA,NA,NA,"cholesterol esters in very large vldl_mmol_l","BM00015","BM00015",TRUE,FALSE
"69","BM00015","Cholesterol esters in very large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00015",NA,NA,NA,NA,NA,"cholesterol esters in very large vldl_mmol_l","BM00015","BM00015",TRUE,FALSE
"70","BM00015","Cholesterol esters in very large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00015",NA,NA,NA,NA,NA,"cholesterol esters in very large vldl_mmol_l","BM00015","BM00015",TRUE,FALSE
"71","BM00015","Cholesterol esters in very large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00015",NA,NA,NA,NA,NA,"cholesterol esters in very large vldl_mmol_l","BM00015","BM00015",TRUE,FALSE
"72","BM00015","Cholesterol esters in very large VLDL (mmol/L) (s5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00015",NA,NA,NA,NA,NA,"cholesterol esters in very large vldl_mmol_l__s5","BM00015","BM00015",TRUE,FALSE
"73","BM00016","[W1 Finland NMR Metabolomics] Free cholesterol in very large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00016",NA,NA,NA,NA,NA,"w1 finland nmr metabolomics_free cholesterol in very large vldl_mmol_l","BM00016","BM00016",TRUE,FALSE
"74","BM00016","Free cholesterol in very large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00016",NA,NA,NA,NA,NA,"free cholesterol in very large vldl_mmol_l","BM00016","BM00016",TRUE,FALSE
"75","BM00016","Free cholesterol in very large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00016",NA,NA,NA,NA,NA,"free cholesterol in very large vldl_mmol_l","BM00016","BM00016",TRUE,FALSE
"76","BM00016","Free cholesterol in very large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00016",NA,NA,NA,NA,NA,"free cholesterol in very large vldl_mmol_l","BM00016","BM00016",TRUE,FALSE
"77","BM00016","Free cholesterol in very large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00016",NA,NA,NA,NA,NA,"free cholesterol in very large vldl_mmol_l","BM00016","BM00016",TRUE,FALSE
"78","BM00016","Free cholesterol in very large VLDL (mmol/L) (s5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00016",NA,NA,NA,NA,NA,"free cholesterol in very large vldl_mmol_l__s5","BM00016","BM00016",TRUE,FALSE
"79","BM00017","[W1 Finland NMR Metabolomics] Triglycerides in very large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00017",NA,NA,NA,NA,NA,"w1 finland nmr metabolomics_triglycerides in very large vldl_mmol_l","BM00017","BM00017",TRUE,FALSE
"80","BM00017","Triglycerides in very large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00017",NA,NA,NA,NA,NA,"triglycerides in very large vldl_mmol_l","BM00017","BM00017",TRUE,FALSE
"81","BM00017","Triglycerides in very large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00017",NA,NA,NA,NA,NA,"triglycerides in very large vldl_mmol_l","BM00017","BM00017",TRUE,FALSE
"82","BM00017","Triglycerides in very large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00017",NA,NA,NA,NA,NA,"triglycerides in very large vldl_mmol_l","BM00017","BM00017",TRUE,FALSE
"83","BM00017","Triglycerides in very large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00017",NA,NA,NA,NA,NA,"triglycerides in very large vldl_mmol_l","BM00017","BM00017",TRUE,FALSE
"84","BM00017","Triglycerides in very large VLDL (mmol/L) (s5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00017",NA,NA,NA,NA,NA,"triglycerides in very large vldl_mmol_l__s5","BM00017","BM00017",TRUE,FALSE
"85","BM00018","[W1 Finland NMR Metabolomics] Concentration of large VLDL particles (mol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00018",NA,NA,NA,NA,NA,"w1 finland nmr metabolomics_concentration of large vldl particles_mol_l","BM00018","BM00018",TRUE,FALSE
"86","BM00018","Concentration of large VLDL particles (mol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00018",NA,NA,NA,NA,NA,"concentration of large vldl particles_mol_l","BM00018","BM00018",TRUE,FALSE
"87","BM00018","Concentration of large VLDL particles (mol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00018",NA,NA,NA,NA,NA,"concentration of large vldl particles_mol_l","BM00018","BM00018",TRUE,FALSE
