"X","CHEM_ID","LIB_ID","COMP_ID","CHRO_LIB_ENTRY_ID","SUPER_PATHWAY","SUB_PATHWAY","PATHWAY_SORTORDER","TYPE","INCHIKEY","SMILES","CHEMICAL_NAME","PLOT_NAME","LIPID.SPECIES.LEVEL","LIPID.MOLECULAR.SPECIES.LEVEL","LIPID.SN.POSITION.LEVEL","CAS","CHEMSPIDER","HMDB","KEGG","PUBCHEM","PLATFORM","CHEMICAL_NAME_final","original_index","final_metabolite_id","metabolite_id_origin","Standardized name"
11,100001040,209,27447,126071,"Lipid","Monoacylglycerol",2884,"NAMED","WECGLUPZRHILCT-HZJYTTRNSA-N","CCCCC/C=C\C/C=C\CCCCCCCC(OCC(O)CO)=O","1-linoleoylglycerol (18:2)","1-linoleoylglycerol (18:2)","MG 18:2","MG 18:2","MG 18:2/0:0/0:0","2277-28-3","4446589","HMDB0011568",NA,"5283469","Neg","1_linoleoylglycerol_18_2",291,"1_linoleoylglycerol_18_2","sample_cohort","MG 18:2"
11,100001040,209,27447,126071,"Lipid","Monoacylglycerol",2884,"NAMED","WECGLUPZRHILCT-HZJYTTRNSA-N","CCCCC/C=C\C/C=C\CCCCCCCC(OCC(O)CO)=O","1-linoleoylglycerol (18:2)","1-linoleoylglycerol (18:2)","MG 18:2","MG 18:2","MG 18:2/0:0/0:0","2277-28-3","4446589","HMDB0011568",NA,"5283469","Neg","1_linoleoylglycerol_18_2",291,"1_linoleoylglycerol_18_2","sample_cohort","MG 18:2"
11,100001040,209,27447,126071,"Lipid","Monoacylglycerol",2884,"NAMED","WECGLUPZRHILCT-HZJYTTRNSA-N","CCCCC/C=C\C/C=C\CCCCCCCC(OCC(O)CO)=O","1-linoleoylglycerol (18:2)","1-linoleoylglycerol (18:2)","MG 18:2","MG 18:2","MG 18:2/0:0/0:0","2277-28-3","4446589","HMDB0011568",NA,"5283469","Neg","1_linoleoylglycerol_18_2",291,"1_linoleoylglycerol_18_2","sample_cohort","MG 18:2"
11,100001040,209,27447,126071,"Lipid","Monoacylglycerol",2884,"NAMED","WECGLUPZRHILCT-HZJYTTRNSA-N","CCCCC/C=C\C/C=C\CCCCCCCC(OCC(O)CO)=O","1-linoleoylglycerol (18:2)","1-linoleoylglycerol (18:2)","MG 18:2","MG 18:2","MG 18:2/0:0/0:0","2277-28-3","4446589","HMDB0011568",NA,"5283469","Neg","1_linoleoylglycerol_18_2",291,"1_linoleoylglycerol_18_2","sample_cohort","MG 18:2"
11,100001040,209,27447,126071,"Lipid","Monoacylglycerol",2884,"NAMED","WECGLUPZRHILCT-HZJYTTRNSA-N","CCCCC/C=C\C/C=C\CCCCCCCC(OCC(O)CO)=O","1-linoleoylglycerol (18:2)","1-linoleoylglycerol (18:2)","MG 18:2","MG 18:2","MG 18:2/0:0/0:0","2277-28-3","4446589","HMDB0011568",NA,"5283469","Neg","1_linoleoylglycerol_18_2",291,"1_linoleoylglycerol_18_2","sample_cohort","MG 18:2"
11,100001040,209,27447,126071,"Lipid","Monoacylglycerol",2884,"NAMED","WECGLUPZRHILCT-HZJYTTRNSA-N","CCCCC/C=C\C/C=C\CCCCCCCC(OCC(O)CO)=O","1-linoleoylglycerol (18:2)","1-linoleoylglycerol (18:2)","MG 18:2","MG 18:2","MG 18:2/0:0/0:0","2277-28-3","4446589","HMDB0011568",NA,"5283469","Neg","1_linoleoylglycerol_18_2",291,"1_linoleoylglycerol_18_2","sample_cohort","MG 18:2"
11,100001040,209,27447,126071,"Lipid","Monoacylglycerol",2884,"NAMED","WECGLUPZRHILCT-HZJYTTRNSA-N","CCCCC/C=C\C/C=C\CCCCCCCC(OCC(O)CO)=O","1-linoleoylglycerol (18:2)","1-linoleoylglycerol (18:2)","MG 18:2","MG 18:2","MG 18:2/0:0/0:0","2277-28-3","4446589","HMDB0011568",NA,"5283469","Neg","1_linoleoylglycerol_18_2",291,"1_linoleoylglycerol_18_2","sample_cohort","MG 18:2"
12,100001129,305,31539,146936,"Amino Acid","Glycine, Serine and Threonine Metabolism",23,"NAMED","FCXZBWSIAGGPCB-YFKPBYRVSA-N","N[C@H](C(O)=O)CCOC(C)=O","O-acetylhomoserine","O-acetylhomoserine",NA,NA,NA,"7540-67-2","388506","HMDB0029423","C01077","439389","Polar","o_acetylhomoserine",310,"o_acetylhomoserine","sample_cohort","O-Acetyl-homoserine"
12,100001129,305,31539,146936,"Amino Acid","Glycine, Serine and Threonine Metabolism",23,"NAMED","FCXZBWSIAGGPCB-YFKPBYRVSA-N","N[C@H](C(O)=O)CCOC(C)=O","O-acetylhomoserine","O-acetylhomoserine",NA,NA,NA,"7540-67-2","388506","HMDB0029423","C01077","439389","Polar","o_acetylhomoserine",310,"o_acetylhomoserine","sample_cohort","O-Acetyl-homoserine"
12,100001129,305,31539,146936,"Amino Acid","Glycine, Serine and Threonine Metabolism",23,"NAMED","FCXZBWSIAGGPCB-YFKPBYRVSA-N","N[C@H](C(O)=O)CCOC(C)=O","O-acetylhomoserine","O-acetylhomoserine",NA,NA,NA,"7540-67-2","388506","HMDB0029423","C01077","439389","Polar","o_acetylhomoserine",310,"o_acetylhomoserine","sample_cohort","O-Acetyl-homoserine"
